running_no;year;boxor;box;HEXP;egg_code;code_shift;eggmass;bs_final;bs_origin;individual;sex;mass0;mass2;mass5;mass8;mass11;mass12;mass14;tars14R;tarwho;pha_fin
575;2016;2016_N009;2016_N007;C;2016_E0093;0;1.17;8;4;ID00510;UNK;0.85;;;;;;;;NAPPL;
576;2016;2016_N016;2016_N015;CORT;2016_E0379;0;1.24;9;5;ID00571;UNK;0.88;;;;;;;;NAPPL;
577;2016;2016_N021;2016_N020;T4;2016_E0238;0;1.22;6;5;ID00542;M;0.9;2.03;3.9;7.9;10.18;;;;NAPPL;
578;2016;2016_N026;2016_N027;T4;2016_E0304;0;1.18;8;6;ID00556;UNK;0.7;;;;;;;;NAPPL;
579;2016;2016_N003;2016_N002;T4;2016_E0536;0;1.27;6;8;ID00601;F;0.77;1.7;;;;;;;NAPPL;
580;2016;2016_N035;2016_N035;C;2016_E0677;0;1.14;8;3;ID00612;UNK;0.89;;;;;;;;NAPPL;
581;2016;2016_N016;2016_N017;C;2016_E0716;0;1.18;12;5;ID00627;M;0.84;1.59;;;;;;;NAPPL;
582;2016;2016_N039;2016_N043;T4;2016_E0762;0;1.09;3;5;ID00629;M;0.77;1.8;5.03;;;;;;NAPPL;
583;2016;2016_N039;2016_N043;CORT;2016_E0763;0;1.03;3;5;ID00628;M;0.72;1.7;4.55;;;;;;NAPPL;
584;2016;2016_N039;2016_N043;C;2016_E0764;0;1.09;3;5;ID00630;F;0.8;2;5.71;;;;;;NAPPL;
585;2016;2016_N040;2016_N040;T4;2016_E0792;0;1.18;4;3;ID00631;UNK;0.82;1.5;;;;;;;NAPPL;
586;2016;2016_N041;2016_N040;CORT;2016_E0788;0;1.05;4;5;ID00632;UNK;0.73;1.1;;;;;;;NAPPL;
587;2016;2016_N041;2016_N040;CORT;2016_E0789;0;1.01;4;5;ID00633;UNK;0.71;;;;;;;;NAPPL;
588;2016;2016_N040;2016_N041;T4;2016_E0834;0;1.2;7;3;ID00639;UNK;0.83;;;;;;;;NAPPL;
589;2016;2016_N041;2016_N041;C;2016_E0833;0;0.96;7;5;ID00640;UNK;0.66;;;;;;;;NAPPL;
590;2016;2016_N049;2016_N046;C;2016_E1016;Y;1.15;9;5;ID00662;UNK;0.87;;;;;;;;NAPPL;
591;2016;2016_N047;2016_N046;CORT;2016_E1017;0;1.19;9;2;ID00663;UNK;;;;;;;;;NAPPL;
592;2016;2016_N012;2016_N012;T4;2016_E1099;0;1.24;6;3;ID00677;F;0.98;1.8;4.6;7.7;10.39;;;;NAPPL;
593;2016;2016_N051;2016_N051;C;2016_E1155;0;1.24;9;7;ID00686;UNK;0.88;;;;;;;;NAPPL;
594;2016;2016_N019;2016_N050;CORT;2016_E1163;0;1.19;10;9;ID00692;M;0.65;;;;;;;;NAPPL;
595;2016;2016_N026;2016_N024;CORT;2016_E1447;0;1.19;8;6;ID00741;F;0.83;1.2;;;;;;;NAPPL;
596;2014;2014_N004;2014_N004;CORT;2014_E0190;0;NA;9;4;ID00001;M;;2.2;5.26;9.31;10.8;;13.1;16.88;MEASURER4;
597;2014;2014_N008;2014_N007;C;2014_E0255;0;NA;6;2;ID00011;M;;2.3;5.7;8.8;10.6;;11.89;16.99;MEASURER4;
598;2014;2014_N009;2014_N007;C;2014_E0256;0;NA;6;3;ID00012;F;;2.2;5.1;8.1;10;;10.48;16.51;MEASURER4;
599;2014;2014_N009;2014_N007;C;2014_E0257;0;NA;6;3;ID00013;M;;2.3;5.7;8.9;11.5;;11.63;17.19;MEASURER4;
600;2014;2014_N010;2014_N010;T4;2014_E0280;0;NA;9;5;ID00018;M;;2.34;6.1;9.2;10.6;;12.18;16.73;MEASURER4;
601;2014;2014_N011;2014_N010;CORT;2014_E0276;0;NA;9;5;ID00019;M;;1.92;5.3;8;10.1;;11.78;16.75;MEASURER4;
602;2014;2014_N012;2014_N010;T4;2014_E0277;0;NA;9;3;ID00020;M;;2.08;5.8;9;11;;12.17;17.2;MEASURER4;
603;2014;2014_N012;2014_N010;C;2014_E0279;0;NA;9;3;ID00021;M;;2.43;6.3;9.2;11.1;;12.66;16.95;MEASURER4;
604;2014;2014_N010;2014_N011;T4;2014_E0296;0;NA;10;5;ID00023;M;;2.35;6;9.2;11.3;;12.89;16.75;MEASURER4;
605;2014;2014_N010;2014_N011;CORT;2014_E0297;0;NA;10;5;ID00022;M;;2.84;6.7;9.8;11.4;;12.37;17.13;MEASURER4;
606;2014;2014_N011;2014_N011;CORT;2014_E0291;0;NA;10;5;ID00024;F;;2.87;6.5;9;10.7;;10.83;17.02;MEASURER4;
607;2014;2014_N011;2014_N011;C;2014_E0292;0;NA;10;5;ID00025;M;;2.56;6.4;9.3;11;;11.37;17.44;MEASURER4;
608;2014;2014_N012;2014_N011;C;2014_E0295;0;NA;10;3;ID00026;UNK;;2.62;6.4;9.4;11.4;;12.06;17.08;MEASURER4;
609;2014;2014_N010;2014_N012;T4;2014_E0320;0;NA;8;5;ID00028;UNK;;2.4;6.04;9.3;11.6;12.02;;16.05;MEASURER4;
610;2014;2014_N010;2014_N012;C;2014_E0322;0;NA;8;5;ID00027;UNK;;2.2;5.72;9.1;11.7;12.17;;17.09;MEASURER4;
611;2014;2014_N011;2014_N012;T4;2014_E0315;0;NA;8;5;ID00030;UNK;;1.8;5.06;8.6;11.6;12.73;;16.52;MEASURER4;
612;2014;2014_N011;2014_N012;CORT;2014_E0316;0;NA;8;5;ID00029;UNK;;2.5;6.29;8.6;11.2;11.87;;16.7;MEASURER4;
613;2014;2014_N013;2014_N013;C;2014_E0341;0;NA;8;3;ID00031;UNK;;1.8;4.6;8;11.2;;12.24;17.23;MEASURER4;
614;2014;2014_N014;2014_N013;CORT;2014_E0343;0;NA;8;4;ID00032;F;;2;4.7;8;10.8;;11.25;17.15;MEASURER4;
615;2014;2014_N015;2014_N013;T4;2014_E0345;0;NA;8;6;ID00033;F;;1.4;3.8;6.6;9.6;;11.27;16.34;MEASURER4;
616;2014;2014_N015;2014_N013;CORT;2014_E0346;0;NA;8;6;ID00034;F;;1.3;3.8;6.9;9.6;;11.6;17.06;MEASURER4;
617;2014;2014_N013;2014_N014;T4;2014_E0422;0;NA;8;3;ID00036;F;;1.6;4.5;7.6;9.9;;10.97;17.3;MEASURER4;
618;2014;2014_N013;2014_N014;CORT;2014_E0423;0;NA;8;3;ID00037;F;;1.2;3.5;6.9;9.1;;10.3;17.15;MEASURER4;
619;2014;2014_N014;2014_N014;T4;2014_E0425;0;NA;8;4;ID00040;M;;1.8;5;8.7;11.4;;11.86;17.47;MEASURER4;
620;2014;2014_N014;2014_N014;CORT;2014_E0426;0;NA;8;4;ID00038;M;;1;3.2;6.2;8.8;;10.07;17.59;MEASURER4;
621;2014;2014_N014;2014_N014;C;2014_E0427;0;NA;8;4;ID00039;M;;1.9;5.3;8.7;11;;11.6;17.65;MEASURER4;
622;2014;2014_N015;2014_N014;T4;2014_E0428;0;NA;8;6;ID00041;F;;1.2;3.6;6.8;9.6;;10.83;16.74;MEASURER4;
623;2014;2014_N019;2014_N018;T4;2014_E0548;0;NA;6;6;ID00045;M;;1.2;4.1;7.3;10.3;;11.21;16.82;MEASURER4;
624;2014;2014_N019;2014_N018;CORT;2014_E0549;0;NA;6;6;ID00046;M;;1.3;4.3;7.3;10.3;;11.05;15.15;MEASURER4;
625;2014;2014_N018;2014_N019;C;2014_E0580;0;NA;8;1;ID00048;F;;1.7;4.8;7.7;10.7;;10.25;15.76;MEASURER4;
626;2014;2014_N019;2014_N019;T4;2014_E0581;0;NA;8;6;ID00050;F;;1.3;4;7;10.3;;11.49;15.8;MEASURER4;
627;2014;2014_N020;2014_N019;CORT;2014_E0578;0;NA;8;3;ID00051;F;;1.2;3.7;6.3;9.4;;10.58;15.45;MEASURER4;
628;2014;2014_N019;2014_N020;CORT;2014_E0590;0;NA;7;6;ID00053;F;;1.8;3.7;7.1;9.6;;11.22;16.49;MEASURER4;
629;2014;2014_N019;2014_N020;C;2014_E0591;0;NA;7;6;ID00054;F;;1.4;2.9;6.3;8.9;;10.48;16.58;MEASURER4;
630;2014;2014_N021;2014_N021;T4;2014_E0605;0;NA;5;4;ID00055;F;;3;5.5;8.6;10.7;;11.93;16.9;MEASURER4;
631;2014;2014_N023;2014_N021;T4;2014_E0602;0;NA;5;9;ID00058;F;;3.5;6.2;9.2;10.9;;11.89;17.35;MEASURER4;
632;2014;2014_N023;2014_N021;CORT;2014_E0603;0;NA;5;9;ID00057;M;;3.9;6.7;9.9;11.9;;12.7;17.25;MEASURER4;
633;2014;2014_N023;2014_N021;C;2014_E0604;0;NA;5;9;ID00056;M;;4.4;7.1;11.04;12.5;;12.73;16.7;MEASURER4;
634;2014;2014_N021;2014_N024;C;2014_E0633;0;NA;8;4;ID00059;F;;2.3;4.6;7.8;10.6;;11.63;16.57;MEASURER4;
635;2014;2014_N024;2014_N024;CORT;2014_E0626;0;NA;8;2;ID00060;M;;2.4;5.3;8.8;11.1;;12.3;16.94;MEASURER4;
636;2014;2014_N023;2014_N024;T4;2014_E0628;0;NA;8;9;ID00062;M;;3.7;5.7;8.9;10.7;;11.13;16.92;MEASURER4;
637;2014;2014_N023;2014_N024;C;2014_E0630;0;NA;8;9;ID00063;M;;2.7;5.9;9.3;12;;12.84;17.78;MEASURER4;
638;2014;2014_N021;2014_N023;T4;2014_E0652;0;NA;10;4;ID00065;UNK;;1.8;4.3;7.6;10.3;;11.44;17.88;MEASURER4;
639;2014;2014_N021;2014_N023;T4;2014_E0654;0;NA;10;4;ID00064;UNK;;1.4;3.6;6.4;9.7;;11.23;17.3;MEASURER4;
640;2014;2014_N024;2014_N023;T4;2014_E0647;0;NA;10;2;ID00066;UNK;;1.6;4.2;7.1;9.8;;11.67;16.4;MEASURER4;
641;2014;2014_N023;2014_N023;T4;2014_E0649;0;NA;10;9;ID00069;UNK;;1.8;4.5;8;10.8;;12.56;17.37;MEASURER4;
642;2014;2014_N023;2014_N023;CORT;2014_E0650;0;NA;10;9;ID00068;UNK;;2;4.7;8;10.3;;12.26;17.74;MEASURER4;
643;2014;2014_N023;2014_N023;C;2014_E0651;0;NA;10;9;ID00067;UNK;;2.1;5.2;8.7;11.5;;12.34;17.6;MEASURER4;
644;2014;2014_N003;2014_N002;T4;2014_E0655;0;NA;6;3;ID00071;M;;;;6.7;;;9.04;14.89;MEASURER4;
645;2014;2014_N003;2014_N002;C;2014_E0657;0;NA;6;3;ID00070;F;;;;7.5;;;9.63;14.66;MEASURER4;
646;2014;2014_N025;2014_N025;CORT;2014_E0685;0;NA;8;5;ID00073;F;;1.5;4;7.34;9.8;;10.41;16.36;MEASURER4;
647;2014;2014_N025;2014_N025;C;2014_E0686;0;NA;8;5;ID00072;M;;2;5.2;8.36;10.7;;11.04;15.97;MEASURER4;
648;2014;2014_N026;2014_N025;T4;2014_E0687;0;NA;8;5;ID00074;F;;1.8;4.9;8.04;10.5;;10.6;15.44;MEASURER4;
649;2014;2014_N027;2014_N025;T4;2014_E0690;0;NA;8;5;ID00076;M;;1.2;3.5;6.91;10.4;;11.35;16.93;MEASURER4;
650;2014;2014_N027;2014_N025;CORT;2014_E0691;0;NA;8;5;ID00075;UNK;;1.5;3.8;7.5;10;;11.37;16.14;MEASURER4;
651;2014;2014_N027;2014_N025;C;2014_E0692;0;NA;8;5;ID00077;F;;1.4;3.7;6.9;9.8;;10.75;15.2;MEASURER4;
652;2014;2014_N028;2014_N028;T4;2014_E0703;0;NA;8;5;ID00079;M;;1.4;4.1;6.51;9.2;;10.11;15.73;MEASURER4;
653;2014;2014_N028;2014_N028;CORT;2014_E0704;0;NA;8;5;ID00078;M;;1.5;4;6.72;9.8;;10.49;15.97;MEASURER4;
654;2014;2014_N029;2014_N028;C;2014_E0707;0;NA;8;4;ID00080;F;;1.2;3.6;7.45;10.5;;11.33;16.08;MEASURER4;
655;2014;2014_N030;2014_N028;CORT;2014_E0709;0;NA;8;5;ID00081;M;;1.8;4.5;7.69;10.2;;10.99;16.13;MEASURER4;
656;2014;2014_N031;2014_N031;CORT;2014_E0730;0;NA;6;4;ID00082;F;;2.8;5.6;8.9;10.9;;8.75;16.4;MEASURER4;
657;2014;2014_N032;2014_N031;T4;2014_E0735;0;NA;6;6;ID00083;M;;3.2;6.4;10.3;12.6;;12.54;17.73;MEASURER4;
658;2014;2014_N032;2014_N031;T4;2014_E0736;0;NA;6;6;ID00084;M;;3;6.1;9.8;12.1;;12.21;17.18;MEASURER4;
659;2014;2014_N025;2014_N026;T4;2014_E0768;0;NA;7;5;ID00085;F;;1.7;4.2;7.56;9.6;;11.42;16.7;MEASURER4;
660;2014;2014_N026;2014_N026;T4;2014_E0771;0;NA;7;5;ID00087;M;;1.8;4.4;7.77;9.9;;12.37;16.51;MEASURER4;
661;2014;2014_N026;2014_N026;CORT;2014_E0772;0;NA;7;5;ID00086;M;;2.4;5;8.68;10.3;;12.02;17.58;MEASURER4;
662;2014;2014_N026;2014_N026;C;2014_E0773;0;NA;7;5;ID00088;F;;1.4;3.2;7.56;8;;10.79;16.3;MEASURER4;
663;2014;2014_N027;2014_N026;CORT;2014_E0776;0;NA;7;5;ID00089;F;;1.4;3.2;6.48;8.2;;10.59;16.86;MEASURER4;
664;2014;2014_N025;2014_N027;T4;2014_E0794;0;NA;8;5;ID00090;UNK;;;;;;;;;MEASURER4;
665;2014;2014_N025;2014_N027;C;2014_E0796;0;NA;8;5;ID00091;F;;1.4;3.6;6.5;8.8;;9.48;16.22;MEASURER4;
666;2014;2014_N026;2014_N027;T4;2014_E0797;0;NA;8;5;ID00092;UNK;;;;;;;;;MEASURER4;
667;2014;2014_N027;2014_N027;CORT;2014_E0800;0;NA;8;5;ID00093;M;;1.3;3.3;6.8;9.2;;10.52;17.26;MEASURER4;
668;2014;2014_N034;2014_N033;T4;2014_E0815;0;NA;4;3;ID00094;M;;2.9;5.6;8.8;11;;10.5;17.04;MEASURER4;
669;2014;2014_N035;2014_N035;T4;2014_E0837;0;NA;7;6;ID00096;M;;2;5.58;8.5;10.7;;11.58;17.12;MEASURER4;
670;2014;2014_N036;2014_N035;T4;2014_E0840;0;NA;7;4;ID00097;M;;1.8;4.88;7.8;9.8;;11.1;17.68;MEASURER4;
671;2014;2014_N037;2014_N035;C;2014_E0844;0;NA;7;4;ID00098;UNK;;2.5;6.05;9.4;11.2;;11.96;17.33;MEASURER4;
672;2014;2014_N033;2014_N034;T4;2014_E0859;0;NA;4;1;ID00099;M;;1.7;5.05;8.2;12;;12.29;16.21;MEASURER4;
673;2014;2014_N034;2014_N034;T4;2014_E0857;0;NA;4;3;ID00100;F;;1.7;4.72;7.1;10.5;;10.74;15.64;MEASURER4;
674;2014;2014_N031;2014_N038;T4;2014_E0943;0;NA;8;4;ID00102;F;;2.2;5.69;8.5;10.1;;10.8;16.58;MEASURER4;
675;2014;2014_N031;2014_N038;C;2014_E0945;0;NA;8;4;ID00101;M;;2.1;5.75;8.94;10.7;;11.51;16.42;MEASURER4;
676;2014;2014_N038;2014_N038;T4;2014_E0946;0;NA;8;4;ID00104;F;;2.3;5.81;9.2;11.1;;12.02;17.04;MEASURER4;
677;2014;2014_N032;2014_N038;T4;2014_E0948;0;NA;8;6;ID00105;F;;2.4;5.83;9.4;11.9;;12.7;16.66;MEASURER4;
678;2014;2014_N032;2014_N038;CORT;2014_E0949;0;NA;8;6;ID00106;F;;2.4;6.24;8.82;11.1;;11.28;16.41;MEASURER4;
679;2014;2014_N004;2014_N006;T4;2014_E0972;0;NA;8;4;ID00107;M;;4.3;8.25;11.4;12.5;;13.26;18.17;MEASURER4;
680;2014;2014_N004;2014_N006;CORT;2014_E0973;0;NA;8;4;ID00108;M;;3.6;7.4;10.7;12.8;;13.62;18.19;MEASURER4;
681;2014;2014_N005;2014_N006;T4;2014_E0978;0;NA;8;6;ID00110;M;;2;5.34;9.3;11.5;;12.26;17.68;MEASURER4;
682;2014;2014_N005;2014_N006;CORT;2014_E0979;0;NA;8;6;ID00109;F;;2.7;6.16;9.4;10.6;;10.14;16.35;MEASURER4;
683;2014;2014_N006;2014_N006;CORT;2014_E0976;0;NA;8;6;ID00112;M;;2.5;5.8;9.3;10.6;;11.75;17.26;MEASURER4;
684;2014;2014_N006;2014_N006;C;2014_E0977;0;NA;8;6;ID00111;F;;2.6;6.17;9.8;11.5;;11.89;17.83;MEASURER4;
685;2014;2014_N035;2014_N036;T4;2014_E0998;0;NA;7;6;ID00115;M;;2.2;4.82;7.9;10.7;;11.36;16.92;MEASURER4;
686;2014;2014_N035;2014_N036;CORT;2014_E0999;0;NA;7;6;ID00113;F;;2;4.64;7.3;9.2;;9.61;16.39;MEASURER4;
687;2014;2014_N035;2014_N036;C;2014_E1000;0;NA;7;6;ID00114;M;;2.5;5.43;8;10.6;;11.16;16.54;MEASURER4;
688;2014;2014_N036;2014_N036;CORT;2014_E1002;0;NA;7;4;ID00116;F;;1.9;4.2;7.4;9.5;;9.79;16.5;MEASURER4;
689;2014;2014_N037;2014_N036;C;2014_E1006;0;NA;7;4;ID00117;M;;2.3;5.31;8.6;11.6;;12.23;17.1;MEASURER4;
690;2014;2014_N031;2014_N032;T4;2014_E1007;0;NA;10;4;ID00118;UNK;;;5.99;;;;;;MEASURER4;
691;2014;2014_N038;2014_N032;T4;2014_E1009;0;NA;10;4;ID00119;M;;1.8;4.54;8.3;10.4;;11.7;17.48;MEASURER4;
692;2014;2014_N038;2014_N032;CORT;2014_E1010;0;NA;10;4;ID00120;F;;2.1;4.77;8.1;10.3;;10.82;16.84;MEASURER4;
693;2014;2014_N032;2014_N032;CORT;2014_E1011;0;NA;10;6;ID00121;UNK;;;;;;;;;MEASURER4;
694;2014;2014_N032;2014_N032;C;2014_E1012;0;NA;10;6;ID00122;F;;1.6;3.46;7.1;9.6;;10.41;17.14;MEASURER4;
695;2014;2014_N041;2014_N040;T4;2014_E1092;0;NA;7;4;ID00125;UNK;;2.4;5.5;10.1;12.1;;11.83;17.75;MEASURER4;
696;2014;2014_N041;2014_N040;CORT;2014_E1093;0;NA;7;4;ID00124;F;;2;5.03;9.3;11.6;;12.28;17.33;MEASURER4;
697;2014;2014_N042;2014_N040;T4;2014_E1088;0;NA;7;3;ID00126;M;;1.8;4.92;8.9;10.9;;11.27;17.67;MEASURER4;
698;2014;2014_N041;2014_N041;T4;2014_E1128;0;NA;5;4;ID00127;M;;2;4.69;8.8;11.1;;11.25;16.58;MEASURER4;
699;2014;2014_N042;2014_N041;T4;2014_E1125;0;NA;5;3;ID00128;M;;2.2;5.23;9.6;12;;12.54;17.44;MEASURER4;
700;2014;2014_N035;2014_N037;T4;2014_E1171;0;NA;5;6;ID00129;F;;0.9;3;5.43;8.8;;10.28;16.24;MEASURER4;
701;2014;2014_N036;2014_N037;T4;2014_E1173;0;NA;5;4;ID00131;F;;1.3;4.2;6.91;9.9;;10.43;16.25;MEASURER4;
702;2014;2014_N036;2014_N037;CORT;2014_E1174;0;NA;5;4;ID00130;F;;1.4;4.1;7.5;9.5;;10.52;16.55;MEASURER4;
703;2014;2014_N037;2014_N037;T4;2014_E1176;0;NA;5;4;ID00132;UNK;;1.4;4.7;8.7;11.7;;12.08;16.65;MEASURER4;
704;2014;2014_N043;2014_N037;CORT;2014_E1177;0;NA;5;4;ID00133;F;;1.6;4.7;8.47;11.2;;12;16.21;MEASURER4;
705;2014;2014_N028;2014_N030;CORT;2014_E1190;0;NA;9;5;ID00134;M;;2;4.5;6.5;9.64;;10.43;15.25;MEASURER4;
706;2014;2014_N029;2014_N030;T4;2014_E1192;0;NA;9;4;ID00136;F;;2.1;4.8;6.5;10.34;;11.4;15.99;MEASURER4;
707;2014;2014_N029;2014_N030;CORT;2014_E1193;0;NA;9;4;ID00135;F;;2;4.5;6.7;9.58;;10.25;15.6;MEASURER4;
708;2014;2014_N030;2014_N030;T4;2014_E1194;0;NA;9;5;ID00137;M;;2.1;4.6;6.1;9.47;;10.41;16.02;MEASURER4;
709;2014;2014_N030;2014_N030;CORT;2014_E1195;0;NA;9;5;ID00139;UNK;;2;4.7;7.1;10.02;;11.03;15.79;MEASURER4;
710;2014;2014_N030;2014_N030;C;2014_E1196;0;NA;9;5;ID00138;M;;2;4.8;7.4;9.92;;11.43;16.4;MEASURER4;
711;2014;2014_N044;2014_N044;CORT;2014_E1239;0;NA;11;4;ID00141;UNK;;2.4;5.1;8;9.1;;11.65;17.6;MEASURER4;
712;2014;2014_N044;2014_N044;C;2014_E1240;0;NA;11;4;ID00140;UNK;;2.6;5.5;8;9.9;;10.78;16.96;MEASURER4;
713;2014;2014_N045;2014_N044;T4;2014_E1244;0;NA;11;5;ID00143;UNK;;2.4;5;7.4;9.5;;10.67;16.3;MEASURER4;
714;2014;2014_N045;2014_N044;CORT;2014_E1245;0;NA;11;5;ID00142;UNK;;2.7;5.5;8;9.9;;11.24;16.64;MEASURER4;
715;2014;2014_N046;2014_N044;T4;2014_E1241;0;NA;11;5;ID00146;UNK;;3.3;6.7;9.8;11.4;;12.63;17.71;MEASURER4;
716;2014;2014_N046;2014_N044;CORT;2014_E1242;0;NA;11;6;ID00145;UNK;;3.2;6.2;8.5;10.7;;10.7;16.47;MEASURER4;
717;2014;2014_N046;2014_N044;C;2014_E1243;0;NA;11;6;ID00144;UNK;;2.7;5.7;8.4;10.5;;11.44;16.72;MEASURER4;
718;2014;2014_N044;2014_N045;T4;2014_E1290;0;NA;10;4;ID00147;UNK;;2;5;8.5;10.7;;12.5;17.89;MEASURER4;
719;2014;2014_N045;2014_N045;C;2014_E1297;0;NA;10;5;ID00149;UNK;;1.5;4;6.6;9.5;;11.35;17.22;MEASURER4;
720;2014;2014_N046;2014_N045;CORT;2014_E1293;0;NA;10;6;ID00151;UNK;;2.4;5.4;8.8;11.3;;12.91;17.69;MEASURER4;
721;2014;2014_N046;2014_N045;C;2014_E1294;0;NA;10;6;ID00150;UNK;;2.4;5.5;8.7;11.2;;12.68;18.19;MEASURER4;
722;2014;2014_N044;2014_N046;C;2014_E1331;0;NA;7;4;ID00152;UNK;;2.5;5.1;7.2;9.5;;10.7;16.58;MEASURER4;
723;2014;2014_N045;2014_N046;T4;2014_E1334;0;NA;7;5;ID00153;UNK;;2.7;5.6;8.1;10.4;;11.9;16.87;MEASURER4;
724;2014;2014_N046;2014_N046;T4;2014_E1332;0;NA;7;6;ID00154;UNK;;1.8;3.8;6.8;10.1;;10.97;17.1;MEASURER4;
725;2014;2014_N046;2014_N046;CORT;2014_E1333;0;NA;7;6;ID00155;UNK;;3;6;8.8;11.1;;11.97;16.9;MEASURER4;
726;2014;2014_N034;2014_N043;C;2014_E1352;0;NA;3;3;ID00156;M;;2.3;6.1;9.29;11.8;;12.2;17.41;MEASURER4;
727;2014;2014_N043;2014_N043;T4;2014_E1347;0;NA;3;1;ID00157;F;;1.7;5.1;9.39;11;;10.43;16.78;MEASURER4;
728;2014;2014_N013;2014_N015;T4;2014_E1479;0;NA;6;3;ID00158;UNK;;1.3;3.7;6.8;9.4;;10.08;15.51;MEASURER4;
729;2014;2014_N015;2014_N015;T4;2014_E1485;0;NA;6;6;ID00161;M;;2.4;5.7;9.2;11.1;;11.39;16.77;MEASURER4;
730;2014;2014_N015;2014_N015;CORT;2014_E1486;0;NA;6;6;ID00159;UNK;;2.1;6;9.4;11.7;;12.21;16.67;MEASURER4;
731;2014;2014_N015;2014_N015;C;2014_E1487;0;NA;6;6;ID00160;UNK;;2.1;5.3;9.1;11.7;;12.85;16.71;MEASURER4;
732;2014;2014_N040;2014_N042;T4;2014_E1492;0;NA;7;2;ID00162;UNK;;2.4;5.6;8.6;11.1;;11.04;16.81;MEASURER4;
733;2014;2014_N040;2014_N042;CORT;2014_E1493;0;NA;7;2;ID00163;F;;2;4.6;7.3;9.3;;9.87;16;MEASURER4;
734;2014;2014_N042;2014_N042;CORT;2014_E1489;0;NA;7;3;ID00164;F;;2.1;5.3;8.4;10.8;;10.97;16.18;MEASURER4;
735;2014;2014_N001;2014_N003;T4;2014_E1500;0;NA;5;6;ID00165;F;;1.5;4.4;7.5;9.8;;10.4;16.32;MEASURER4;
736;2014;2014_N001;2014_N003;C;2014_E1502;0;NA;5;6;ID00166;F;;1.8;4.9;8.2;10.2;;10;16.15;MEASURER4;
737;2014;2014_N002;2014_N003;T4;2014_E1504;0;NA;5;4;ID00168;M;;1.8;4.8;8;10.7;;10.58;16.89;MEASURER4;
738;2014;2014_N002;2014_N003;CORT;2014_E1505;0;NA;5;4;ID00167;M;;2.2;5.8;9.1;11.2;;11.46;16.82;MEASURER4;
739;2015;2015_N002;2015_N003;CORT;2015_E0329;0;1.18;10;7;ID00234;M;0.8;2.2;7.03;8.78;9.6;9.1;9.8;16.28;MEASURER4;0.306666667
740;2015;2015_N002;2015_N003;T4;2015_E0330;0;NA;10;7;ID00237;M;0.8;2.6;7.15;8.95;9.4;9.2;10.1;16.66;MEASURER4;0.443333333